CreditUnion,Link,Rates(30Years),BestRate
Muskogee Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=4C080000-4980-410C-95D1-924B5115D595,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
N A E Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=D7100A86-FCC8-446A-98CB-7083D90CA63C,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Newport News Municipal Employees Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6D9D4484-3B15-46D7-A022-C30B1AA1D3A5,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
None Suffer Lack Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=D8CBDDEB-FE8A-4340-A9BF-E036392C2528,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Northeast Community Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=35F04DE2-9133-48DC-ABD5-30115BC5A009,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Northwest Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=CD9A9818-138F-407A-9A90-E2BF334120D3,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
O and R Utilities Employees Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=D03FF183-478E-4BDC-8DEF-15297C4D4FE0,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
OAS Staff Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=5DA92C31-BC4E-4DAB-A642-6B60E43B50C6,Jumbo 30 Year Fixed-6.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%|VA 30 Year Fixed-5.500%,15 Year Fixed-5.250%
OC Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=37306A41-2904-4293-BE93-1701CB35E441,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
PAHO/WHO Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=5CE2EB33-83D0-407A-943E-9CAB4C7AF575,15/15 ARM-6.125%|5/5 Year ARM-5.500%|30 Year Fixed-5.875%|20 Year Fixed-5.625%|15 Year Fixed-5.375%,15 Year Fixed-5.375%
Palisades Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=43EEEFD9-B486-41E3-BEC7-F111290993A3,5/1 Year ARM-5.500%|7/1 Year ARM-5.625%|30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%,5/1 Year ARM-5.500%
Patent and Trademark Office Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=8350C7CC-072E-400D-8487-91284F0CBF3F,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Patriot Equity Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C8EE794A-22C7-4B17-B5EE-DA29C50A9E5D,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Peake Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F239B9FA-C6FB-421E-9334-B7FE347A9B12,30 Year Fixed-5.750%|20 Year Fixed-5.625%|15 Year Fixed-5.125%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-7.000%,15 Year Fixed-5.125%
Peoples Advantage Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=B24AA3ED-41E6-4E52-9D0A-2B3445EEF982,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Piedmont Advantage Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=56DC8311-62E0-4D4B-93B5-F6B86DBE6058,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Police Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=76D2EB72-314B-4BB9-B498-0CD777CABF52,15/15 ARM 1-5.750%|30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%,15 Year Fixed-5.250%
Port of Hampton Roads ILA Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=B5336E19-B823-4D6A-B451-406BDE1A8A4D,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Post Office Employees Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=E034BD1E-C21F-4234-8657-22BA85235756,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
ACT 1st Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=19A8538A-275B-48C3-B178-135960E426A5,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|5/5 Year ARM-5.250%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Advantage Financial Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=89A7CB7E-CA50-420E-A902-A60DF2A870BD,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-5.000%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
AFLCIO Employees Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C1F6DBB4-762D-4B27-9741-459D6025E2B2,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Agriculture Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6E5CC923-F933-40CA-B1B0-A20A68D95F94,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
American Partners Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=35C5411C-7A2C-4B22-BD97-02FC6D8A5BCE,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Andrews Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=62164F8D-49F1-47B5-895E-4C4F7558EF83,FHA 30-Year Fixed-5.375%|VA 30 Year Fixed-5.500%,FHA 30-Year Fixed-5.375%
APCI Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F4E0E245-3E84-414B-82ED-D879425EE640,30 Year Fixed-5.875%|20 Year Fixed-5.625%|15 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.625%|Jumbo 15 Year Fixed-7.000%,15 Year Fixed-5.375%
APL Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C9796FA5-9A5E-4F21-824D-F88F5CF17F28,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|5/5 Year ARM-5.500%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-5.250%
APL Federal Credit Union Home Equity,https://mortgages.cumortgage.net/default.asp?siteId=432AF8BF-268B-4EE9-985E-849DC58D73EF,None,None
Apple Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3A1B0044-C042-4C1D-ADC6-984B4E4AE66E,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Arlington Community Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=EFE2F354-28CC-4C97-9690-04B28CE15AD7,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Autotruck Financial Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=A7FC4327-2340-45D1-AF41-4127E7EB9BEA,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-4.750%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Beach Municipal Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=254A10C8-8BC6-48BE-B89D-C1ADA101EB65,30 Year Fixed-5.750%|20 Year Fixed-5.500%|7/1 Year ARM-5.875%|5/1 Year ARM-5.875%|3/1 Year ARM-7.875%,20 Year Fixed-5.500%
Blackstone River Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=70B8287F-21B7-4EA5-B48B-0F21609154B5,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Bragg Mutual Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=61976FE1-B5E2-4F2A-A159-9385FC8A3A2A,5/1 Year ARM-5.875%|30 Year Fixed-5.750%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
BrownForman Employees Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=6CC9B22B-FD9B-47BB-BF8C-98123B2BA5BD,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Canandaigua Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=BA4B8C2F-8B87-4326-B309-19B7801636EE,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Census Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=652FCC4F-51F6-4674-92E7-D6C19F1EFC02,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Chessie Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=B7F133AA-1CD3-4152-849C-9A4B370F9A98,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Civic FCU Employees Only,https://mortgages.cumortgage.net/default.asp?siteId=2A907B66-4776-41AA-9272-79894AB26397,30 Year Fixed-5.750%|30 Year Fixed - 3% Down Pmt-6.125%|15 Year Fixed-5.250%|10/1 Year ARM-6.000%|5/1 Year ARM-5.875%,15 Year Fixed-5.250%
Civic Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=4087C423-821C-451F-92DD-EE5E931B7E99,30 Year Fixed-5.750%|15 Year Fixed-5.250%|10/1 Year ARM-6.000%|5/1 Year ARM-5.875%,15 Year Fixed-5.250%
Credit Union Employees Only,https://mortgages.cumortgage.net/default.asp?siteId=9D872503-B0A8-4552-9749-425F3197E743,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Credit Union Mortgage,https://mortgages.cumortgage.net/default.asp?siteId=2B8C95D8-7B93-4949-BF83-DBAD2514C6CB,30 Year Fixed-5.750%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Credit Union Mortgage  Retail,https://mortgages.cumortgage.net/default.asp?siteId=C0914E58-C400-4F9B-B78C-C41C5A04E17A,15/15 ARM 1-5.125%|30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%,15 Year Fixed-4.750%
CUMA Employees Only,https://mortgages.cumortgage.net/default.asp?siteId=0FB50884-39D7-4F58-B428-F48302A5DBC2,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
CUMALSI,https://mortgages.cumortgage.net/default.asp?siteId=E415A428-4A9A-4C53-B75A-3B14E5C117C0,30 Year Fixed-5.375%|Jumbo 30 Year Fixed-6.500%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Dakota Plains Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=24913549-04D0-4A65-8FA8-FD788A533FC4,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
DC Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=AA35CE55-E768-48F1-A3CD-9407521E7CA6,30 Year Fixed-5.750%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-5.000%|5/5 Year ARM-5.250%,15 Year Fixed-4.750%
Democracy Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=671706E8-76E9-45CB-AC00-DB9F7A50FD77,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Destinations Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=A7476438-8CE5-4015-A01E-5A027FA6957D,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-4.750%|5/5 ARM-5.250%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
EP Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F5855795-99A7-4FFC-8B96-7408D2340B5E,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|7/1 Year ARM-5.875%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-5.250%
F R B Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=762E3A02-114D-48C2-95E3-2069380F6125,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
FAA Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=0B09E938-2D30-4482-87C4-F0B636AB737D,30 Year Fixed-5.750%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|10/1 Year ARM-5.625%|7/1 Year ARM-5.250%,15 Year Fixed-4.750%
FedChoice Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=493F19CB-9B4C-4F01-8807-241987166E35,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Fieldstone Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=85FD3DC2-B23A-4F65-A6D5-88B4748F8748,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-4.750%
Firefighters First Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3799D442-E132-494D-9271-CAF0F83DCD70,30 Year Fixed-6.125%|20 Yr. Fixed-5.625%|5/5 ARM-5.750%|10 Yr. Fixed-5.375%|15 Yr. Fixed-5.500%,10 Yr. Fixed-5.375%
First American Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F3626724-9BF4-401B-B07F-10A1078C9D9A,30 Year Fixed-5.375%|20 Year Fixed-5.125%|15 Year Fixed-4.875%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.875%
First Eagle Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=8B3C5791-C16C-4B47-84A5-3F865802AECB,30 Year Fixed-5.625%|20 Year Fixed-5.500%|15 Year Fixed-5.000%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.000%
Five Star of Maryland Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C529D915-8CB6-4462-9233-604B6DF3CB59,20 Year Fixed.-5.250%|15 Year Fixed.-4.750%|FHA 30-Year Fixed-5.375%|VA 30 Year Fixed-5.500%,15 Year Fixed.-4.750%
Florida A&M University Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=DE826C6A-D89F-4863-A430-1D6D59245BB4,30 Year Fixed-5.125%|20 Year Fixed-5.000%|15 Year Fixed-4.500%|Jumbo 30 Year Fixed-6.250%|Jumbo 15 Year Fixed-6.625%,15 Year Fixed-4.500%
Fort Bragg Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=3DC48A2C-EFAC-4682-A32A-0728D269CFCD,5/5 Year ARM-4.875%|30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%,5/5 Year ARM-4.875%
Freedom of Maryland Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=EBACE7AF-6F14-42A6-9FC1-D1380F6E9A80,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 15 Year Fixed-6.875%|FHA 30-Year Fixed-5.375%,15 Year Fixed-5.250%
Front Royal Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C0391878-2D80-4F1E-B5F5-0A1B4AB5A663,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-4.750%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Genesee Coop Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=C2CF0F4D-7CFA-461D-9E0A-EBE80CC1C1BF,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Gold Coast Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=53189796-EE2D-444C-B4CD-F4D7D260102F,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Government Printing Office Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=2036C20B-8970-488B-9338-0B74ACC4122F,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Greater Niagara Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=70832813-9C0B-462F-8671-5CC63EF5A51C,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
GSA Federal Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=7BAD6EAD-27D6-435F-9A65-2499780C5307,30 Year Fixed-5.750%|20 Year Fixed-5.500%|15 Year Fixed-5.250%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-5.250%
Guardians Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=2074FB0B-A552-425C-B60D-FD52A36A6C82,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
Guthrie Community Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=95D089B8-52B8-41AB-BC22-950DFC44112F,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|15/15 ARM 1-5.000%|Jumbo 30 Year Fixed-6.500%,15 Year Fixed-4.750%
Hampton Roads Educators Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=24223EF5-90EE-4A4A-BFB4-64DC4518FDE5,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|Jumbo 30 Year Fixed-6.500%|Jumbo 15 Year Fixed-6.875%,15 Year Fixed-4.750%
HealthCare Associates Credit Union,https://mortgages.cumortgage.net/default.asp?siteId=F7B22BB1-FCBD-4A3D-A2C2-2BB655E300AC,30 Year Fixed-5.375%|20 Year Fixed-5.250%|15 Year Fixed-4.750%|10 Year Fixed-4.750%|10/1 Year ARM-6.000%,15 Year Fixed-4.750%
